colsample_bytree,learning_rate,n_estimators,num_leaves,subsample,mean_auc
1.0,0.01,200,31,1.0,0.5111964206652199
1.0,0.01,200,31,0.8,0.5111964206652199
1.0,0.01,600,63,0.8,0.5104735729764948
1.0,0.01,600,63,1.0,0.5104735729764948
1.0,0.01,600,31,0.8,0.510204313334767
1.0,0.01,600,31,1.0,0.510204313334767
1.0,0.01,400,63,1.0,0.5101717058247587
1.0,0.01,400,63,0.8,0.5101717058247587
0.8,0.1,600,15,1.0,0.5098613292483744
0.8,0.1,600,15,0.8,0.5098613292483744
0.8,0.01,600,15,0.8,0.5098006585686632
0.8,0.01,600,15,1.0,0.5098006585686632
1.0,0.1,200,15,1.0,0.5093432992644549
1.0,0.1,200,15,0.8,0.5093432992644549
1.0,0.01,200,63,1.0,0.5093107660292594
1.0,0.01,200,63,0.8,0.5093107660292594
1.0,0.01,400,31,0.8,0.5092795333403258
1.0,0.01,400,31,1.0,0.5092795333403258
0.8,0.01,200,31,1.0,0.5089785761222121
0.8,0.01,200,31,0.8,0.5089785761222121
1.0,0.1,600,63,1.0,0.5088157894652785
1.0,0.1,600,63,0.8,0.5088157894652785
0.8,0.01,600,31,0.8,0.5082605003001568
0.8,0.01,600,31,1.0,0.5082605003001568
0.8,0.05,600,31,0.8,0.508203125234751
0.8,0.05,600,31,1.0,0.508203125234751
1.0,0.01,600,15,0.8,0.5080564562739368
1.0,0.01,600,15,1.0,0.5080564562739368
0.8,0.1,200,63,1.0,0.5080097860186322
0.8,0.1,200,63,0.8,0.5080097860186322
0.8,0.01,400,31,0.8,0.5080043261353439
0.8,0.01,400,31,1.0,0.5080043261353439
0.8,0.1,600,63,0.8,0.5079921752124699
0.8,0.1,600,63,1.0,0.5079921752124699
1.0,0.05,200,31,0.8,0.5072470436074965
1.0,0.05,200,31,1.0,0.5072470436074965
1.0,0.1,400,63,0.8,0.5071831670898224
1.0,0.1,400,63,1.0,0.5071831670898224
0.8,0.1,400,63,1.0,0.5069884331453377
0.8,0.1,400,63,0.8,0.5069884331453377
0.8,0.1,600,31,0.8,0.5069203525489799
0.8,0.1,600,31,1.0,0.5069203525489799
0.8,0.05,400,31,1.0,0.506842700087102
0.8,0.05,400,31,0.8,0.506842700087102
1.0,0.05,200,15,1.0,0.5067700326076232
1.0,0.05,200,15,0.8,0.5067700326076232
1.0,0.05,600,63,1.0,0.5067691437478022
1.0,0.05,600,63,0.8,0.5067691437478022
0.8,0.01,200,63,1.0,0.506678786595948
0.8,0.01,200,63,0.8,0.506678786595948
1.0,0.05,200,63,0.8,0.5063952971917932
1.0,0.05,200,63,1.0,0.5063952971917932
0.8,0.01,400,15,1.0,0.5062257791821092
0.8,0.01,400,15,0.8,0.5062257791821092
0.8,0.1,400,15,1.0,0.5057151887177976
0.8,0.1,400,15,0.8,0.5057151887177976
1.0,0.05,600,15,0.8,0.5054489137771943
1.0,0.05,600,15,1.0,0.5054489137771943
0.8,0.01,200,15,0.8,0.5052365280052895
0.8,0.01,200,15,1.0,0.5052365280052895
1.0,0.1,400,15,0.8,0.5052108529132534
1.0,0.1,400,15,1.0,0.5052108529132534
1.0,0.01,200,15,1.0,0.5052080899179845
1.0,0.01,200,15,0.8,0.5052080899179845
0.8,0.05,200,31,1.0,0.5051428339719994
0.8,0.05,200,31,0.8,0.5051428339719994
1.0,0.01,400,15,0.8,0.5049748281724679
1.0,0.01,400,15,1.0,0.5049748281724679
0.8,0.05,600,63,1.0,0.5048801691331349
0.8,0.05,600,63,0.8,0.5048801691331349
1.0,0.05,400,31,1.0,0.5045502998443581
1.0,0.05,400,31,0.8,0.5045502998443581
0.8,0.1,400,31,1.0,0.5045371400540659
0.8,0.1,400,31,0.8,0.5045371400540659
1.0,0.1,200,63,0.8,0.5045170223327683
1.0,0.1,200,63,1.0,0.5045170223327683
1.0,0.1,200,31,1.0,0.5040869265731449
1.0,0.1,200,31,0.8,0.5040869265731449
0.8,0.1,200,15,0.8,0.5040648449789388
0.8,0.1,200,15,1.0,0.5040648449789388
0.8,0.05,600,15,0.8,0.5040603527978803
0.8,0.05,600,15,1.0,0.5040603527978803
0.8,0.05,200,15,1.0,0.5040353003920118
0.8,0.05,200,15,0.8,0.5040353003920118
1.0,0.1,600,15,0.8,0.5040047009489169
1.0,0.1,600,15,1.0,0.5040047009489169
1.0,0.1,600,31,0.8,0.5040015453290216
1.0,0.1,600,31,1.0,0.5040015453290216
0.8,0.05,200,63,0.8,0.503815273713086
0.8,0.05,200,63,1.0,0.503815273713086
1.0,0.05,400,63,1.0,0.5035096023069648
1.0,0.05,400,63,0.8,0.5035096023069648
0.8,0.05,400,63,1.0,0.5032295103420139
0.8,0.05,400,63,0.8,0.5032295103420139
1.0,0.05,600,31,0.8,0.503056915750674
1.0,0.05,600,31,1.0,0.503056915750674
1.0,0.1,400,31,0.8,0.5030454590124155
1.0,0.1,400,31,1.0,0.5030454590124155
0.8,0.1,200,31,1.0,0.5026355816454059
0.8,0.1,200,31,0.8,0.5026355816454059
0.8,0.01,600,63,0.8,0.5026164757081236
0.8,0.01,600,63,1.0,0.5026164757081236
0.8,0.01,400,63,1.0,0.5022925323912361
0.8,0.01,400,63,0.8,0.5022925323912361
0.8,0.05,400,15,0.8,0.5014592881037996
0.8,0.05,400,15,1.0,0.5014592881037996
1.0,0.05,400,15,0.8,0.5014259150189209
1.0,0.05,400,15,1.0,0.5014259150189209
